// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
// store the new local vars in a local variable
// sic
// JRUBY-4113: callers should not call setTaint on immediate objects
// retrieve method // module // name
// FNFException can be thrown in both cases, when the file // is not found, or when permission is denied.
// line 472
// ?f  | boolean | True if file1 exists and is a regular file
/* List of all variables used by all operands of this instruction */
// line 1280
// MRI rounds up on nnn5nnn, but not nnn5 -- // except for when they do
// This is not an expression that computes anything
// add method with full signature, so it's guaranteed to be directly accessible // TODO: no need for this to be a full, formal JVM signature
// a gotcha
// void return type, so we need to load a nil for returning below
// Notify the calling thread that we're about to go to sleep the first time
// if root of method is rescue, compile as a light rescue
// normal new class implementing interfaces
// line 1308
// XXX: This check previously used callMethod("==") to check for equality between classes // when scanning the hierarchy. However the == check may be safe; we should only ever have // one instance bound to a given type/constant. If it's found to be unsafe, examine ways // to avoid the == call.
// FIXME: Remove this from grammars.
// compensate for missing slash after drive letter on windows
// readable only by thread building proxy, so don't need to be // volatile. used to handle recursive calls to getProxyClass/Module // while proxy is being constructed (usually when a constant // defined by a class is of the same type as that class).
// once hasNext has been called, we commit to next() returning // the entry it found, even if it were subsequently deleted
// it would be nice (and logical!) if exponent form  // behaved like E/e, and decimal form behaved like f, // but no such luck. hence:
// silence
// if we're not the "argument scope" for zsuper, try our parent
// OBJ_INFECT
// line 1733
// don't override Numeric#div !
// FIXME: shouldn't need @__java_ovrd_methods, just query locally defined methods.
// line 977
// Add Pointer::NULL as a constant
// inside a loop, break out of it // go to end of loop, leaving break value on stack
// Java Doubles are 64 bit long:
// symbol string *must* be interned
// 1.9 only
// line 323
// Whether this scope is used as the "argument scope" for e.g. zsuper
// this covers primitives and (unlikely) lower-case class names
// not saving DFS instance, as it will only be used once (at most) per call
// Iterate over the RubyHash keySet, simultaneously iterating over the values()
// Assemble a [ :name, offset ] array
// ?M  | Time    | Last modification time for file1
// Parser states:
// MRI behavior: Contrary to what seems to be logical, // when '*' is given, MRI calculates the distance // to the end, in order to go backwards.
// line 1963
// Construct key services
// TODO this should entry into error handling somewhere
// head must not be null and there must be no "args" (like *arg)
// We don't want a package name beginning with dots, so we remove them
/* StrNode: :"some text"*/
// line 639
// line 1081
// Invert the sign, since TZ format and Java format // use opposite signs, sigh... Also, Java API requires // the sign to be always present, be it "+" or "-".
// normal case, create a new label
// for SEEK_CUR, need to adjust for buffered data
// TODO: // MRI behavior: Call "+" or "add", depending on the call. // But this leads to exceptions when Floats are added. See: // http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-core/17374 // return callCoerced(context, op, b, true); -- this is MRI behavior. // We'll use ours for now, thus providing an ability to add Floats.
// we have read ahead, and need to back up
// line 345
// IRubyObject, DynamicMethod, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, IRubyObject
// line 1542
// Ruby Grammar productions return plenty of nulls.
// This field is used during argument processing to avoid putting RubyArray // instances that are purely for utility purposes into ObjectSpace.
// By default, no simplifications!
// line 596
// Uncomment the "puts" lines if you want to see more detail
// ...and shift the result back to the left (multiply by 10**(abs(scale)))
// IRubyObject, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, IRubyObject
// two args, no block; do nothing
// AF_INET
// line 1942
// The reason why we need the stream is to be able to invoke available() on it. // STDIN in Java is non-interruptible, non-selectable, and attempt to read // on such stream might lead to thread being blocked without *any* way to unblock it. // That's where available() comes it, so at least we could check whether // anything is available to be read without blocking.
/* and subtract as neeeded.*/
// Are we lexing Ruby 1.8 or 1.9+ syntax
// If we're running in 1.9 compat mode, add Ruby 1.9 libs to path before 1.8 libs
/* If the value will fit in a Fixnum, return one of those. */
// wrap self and store the wrapper
// multiple conditions for when
// calculation for negatives when %u specified // for values >= Integer.MIN_VALUE * 2, MRI uses (the equivalent of) //   long neg_u = (((long)Integer.MAX_VALUE + 1) << 1) + val // for smaller values, BigInteger math is required to conform to MRI's // result.
// FIXME: what is correct 'recv' argument? // (this does produce the desired behavior)
// try to load the specified name; only if that fails, try to define the class
// Time the compilation
// two args with block
// popen callers wants to be able to read, provide subprocess in directly
// if a jar or file URL, return load service resource directly without further searching
// line 1358
// line 1169
// line 452
// TODO: check safe, taint on incoming string
// line 890
// add us to new superclass's child classes
// line 832
// MRI does similar thing on MacOS X with 'EditLine wrapper'.
// String construction routines by NOT byte[] buffer and making the target String shared
// numeric host, use it for port
// line 1301
// SSS FIXME: I added this in.  Is this correct?
// now iterate over all installers and make sure they also have appropriate aliases
// dump usec, not msec
// IN is the same!
// TODO: this is kinda gross
// n-dimensional array
// this test really means, that this is a ruby-defined subclass of a java class
// Return a meta object corresponding to the class
// If already inspecting, there is no need to register/unregister again.
// FIXME: do we really want 'declared' methods?  includes private/protected, and does _not_ // include superclass methods
// return in a class body raises error
// FIXME: figure out why we get null sometimes
// false // zero
/* ENEBO: Removed !compile_for_eval which probably is to reduce warnings*/
// line 1745
// silent ?
// event name // filename // line numbers should be 1-based
// XXX: do something?
/*arg0*/
// Additional context surrounding tokens that both the lexer and // grammar use.
// we already confirmed above that length > 0
// line 1756
// FIXME: move out of this class!
//[reg]
// dynamically increase
// JRUBY-3568, inherit threadgroup or use default
// TODO: Figure out how this can happen and possibly remove
// Pre-create all the core classes potentially referenced during startup
// not intended to be called directly by users (private) // OLD TODO from Ruby code: // This should be implemented in JavaClass.java, where we can // check for reserved Ruby names, conflicting methods, etc.
// line 884
// Has the method that is calling super received a block argument
// element set
// line 791
// No binding scope so we should create one
// def instructions
/* package scope */
// instance config for the script run
// ignore leading zeroes // switch
// ACTIONS_END
// TODO: eliminate?
// rb_reg_desc
// line 1757
// we re-set self to the class, but store the old self in a temporary local variable // this is to prevent it GCing in case the singleton is short-lived
/* We may need to subtract addition offset off of first */
// set argv from main's args
// line 1362
"/*     * This method exists for us to break up multiple expression when nodes (e.g. when 1,2,3:)     * into individual whenNodes.  The primary reason for this is to ensure lazy evaluation of     * the arguments (when foo,bar,gar:) to prevent side-effects.  In the old code this was done     * using nested when statements, which was awful for interpreter and compilation.     *     * Notes: This has semantic equivalence but will not be lexically equivalent.  Compiler     * needs to detect same bodies to simplify bytecode generated.     */"
// FIXME: legal here? may want UnsupportedOperationException
// TODO: list.subList(from, to).clear() is supposed to clear the sublist from the list. // How can we support this operation?
// Add a forward reference from tgt -> currBB
// Constants for seek
// More constants needed by specs
// BreakJump, ThreadContext
// For nodes do not have their own scope so we pass null to indicate this. // 'For's are implemented as blocks in evaluation, but they have no scope so we // just deal with this lack of scope throughout its lifespan.  We should probably // change the way this works to get rid of multiple null checks.
// If divisor is zero, don't simplify!
// Stream of data that yylex() examines.
// line 1661
// By default we always reverse lookup unless do_not_reverse_lookup set.
// bench fixnum-boxed fib
// No required specified, check actual number of required args
// JRUBY-1000, fail early when attempting to subclass a final Java class; // solved here by adding an exception-throwing "inherited"
// IRubyObject, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, IRubyObject
